lat,lon
12.997657,77.4783932
12.9976518,77.4783943
12.9976488,77.4783962
12.997646,77.4783973
12.9976438,77.4783973
12.9976423,77.4783968
12.9976423,77.4783968
12.9976418,77.4783973
12.9976393,77.4783977
12.9976333,77.4783967
12.9976313,77.4783985
12.9976305,77.4783985
12.9976282,77.4783947
12.9976257,77.478394
12.9976247,77.4783925
12.9976247,77.4783925
12.9976237,77.478392
12.9976255,77.4783882
12.997627,77.4783865
12.9976273,77.4783855
12.9976277,77.4783852
12.9976263,77.4783847
12.9976248,77.4783837
12.9976248,77.4783837
12.9976215,77.4783835
12.9976207,77.4783827
12.9976198,77.478381
12.99762,77.4783812
12.997619,77.4783818
12.9976187,77.4783803
12.9976185,77.478379
12.9976185,77.478379
12.9976155,77.4783755
12.9976148,77.4783748
12.997614,77.4783752
12.9976133,77.4783763
12.997616,77.478374
12.997618,77.4783733
12.9976195,77.4783732
12.9976195,77.4783732
12.9976235,77.4783702
12.9976312,77.478368
12.9976305,77.4783697
12.9976442,77.4783645
12.997649,77.4783625
12.9976515,77.4783622
12.9976515,77.4783622
12.9976563,77.478363
12.9976695,77.4783702
12.9976745,77.478368
12.9976803,77.4783668
12.997684,77.4783652
12.9976892,77.478362
12.997693,77.4783592
12.997693,77.4783592
12.9976958,77.478357
12.9976965,77.4783537
12.9976992,77.4783515
12.9977008,77.4783502
12.997702,77.4783485
12.9977043,77.4783472
12.9977058,77.4783462
12.9977058,77.4783462
12.9977077,77.478345
12.9977115,77.4783422
12.9977127,77.478341
12.9977125,77.47834
12.9977107,77.4783372
12.9977108,77.4783352
12.9977103,77.4783342
12.9977103,77.4783342
12.9977095,77.4783303
12.9977098,77.4783298
12.9977107,77.4783293
12.9977108,77.4783287
12.9977113,77.478328
12.9977115,77.4783278
12.9977117,77.4783278
12.9977117,77.4783278
12.997713,77.4783287
12.9977142,77.4783292
12.997716,77.47833
12.9977163,77.4783298
12.9977185,77.4783293
12.9977198,77.478329
12.9977198,77.478329
12.9977215,77.4783287
12.9976452,77.4783677
12.997648,77.4783657
12.9976492,77.4783637
12.9976498,77.4783627
12.9976512,77.478362
12.9976525,77.4783615
12.9976525,77.4783615
12.9976533,77.4783615
12.9976597,77.4783697
12.997662,77.478372
12.9976645,77.4783747
12.997667,77.4783758
12.9976698,77.478377
12.9976715,77.4783768
12.9976727,77.4783765
12.9976727,77.4783765
12.9976748,77.478376
12.9976758,77.4783757
12.9976767,77.4783755
12.9976775,77.4783752
12.9976788,77.4783747
12.9976833,77.4783718
12.9976872,77.4783692
12.997687,77.4783697
12.997687,77.4783697
12.9977008,77.4783712
12.9977,77.4783738
12.9977157,77.4783742
12.9977247,77.4783813
12.9977305,77.4783818
12.997739,77.4783818
12.997739,77.4783818
12.997745,77.478381
12.9977502,77.47838
12.9977533,77.4783788
12.9977547,77.4783778
12.9977588,77.4783768
12.9977608,77.4783767
12.9977608,77.4783767
12.9977623,77.4783735
